processed_data,label
son đẹp lăm sẽ ủng_hộ tiếp shiper cũng dễ_thương nữa hihihihi,"[0, 0, 0, 0, 0, 0, 1, 0]"
son đẹp lắm nha mn tuy là son nội_địa giá rẻ nhưng chất son mịn dễ tán ko bị bón cục mùi son thơm nhẹ nhẹ ko quá nồng,"[0, 1, 1, 1, 0, 0, 0, 0]"
son màu lên chuẩn đẹp tuy_nhiên dễ khô nên cần dưỡng môi kĩ 1 chút,"[0, 1, 0, 0, 0, 1, 0, 0]"
công_dụng rất đẹp kết_cấu tốt độ bền_màu tốt chất son mịn nhưng không bị khô lâu trôi mình thích mầu số 25 lâu trôi,"[1, 1, 0, 0, 0, 1, 0, 0]"
hàng gói siêu chắc_chắn packing xinh xỉu đủ tem các kiểu visual kh đùa được đâu,"[0, 0, 0, 0, 0, 0, 0, 1]"
son đẹp lắm ạ đóng_gói chưa tốt lắm nm với số tiền này là ok OK_hand,"[0, 0, 0, 1, 0, 0, 0, 1]"
shop gói hàng cực_kì chắc và cẩn_thận luôn mùi son thơm trái_cây cực_kì sẽ quay lại shop 1 lần nữa,"[0, 0, 1, 0, 0, 0, 0, 1]"
bata kể bạn bao_nhiêu tuổi tính_cách có ra sao chỉ cần bạn có đặc_điểm dễ tin người thì đó chính là điểm chết,"[0, 0, 0, 0, 1, 0, 0, 0]"
son xinh xĩu mùi thơm nữa hình_ảnh mang tính_chất nhận xu,"[0, 0, 1, 0, 0, 0, 0, 0]"
ưu_tú từ hạ h jcthjh được ỵnghfghj,"[0, 0, 0, 0, 1, 0, 0, 0]"
màu đỏ trầm mà giống màu đỏ chery quá chất kem mịn đánh lên môi mướt,"[0, 1, 0, 0, 0, 1, 0, 0]"
màu xinh xỉu mua tặng cho nhỏ bạn mà nó mê luôn như mình thích màu sáng hơn,"[0, 0, 0, 0, 0, 1, 0, 0]"
hình_ảnh chi mang tính_chất nhận xu màu đẹp_shop đóng_gói cẩn_thận gh,"[0, 0, 0, 0, 0, 1, 0, 0]"
son rẻ nên đánh chơi thôi mà cũng đẹpgfgfg,"[0, 0, 0, 1, 0, 0, 0, 0]"
giao đầy_đủ son còn được tặng chì kẻ nưa smiling_face_with_hearts mua page chính hãng nên rất an_tâm,"[0, 0, 0, 0, 0, 0, 1, 0]"
hình_ảnh mang tính_chất nhận xu,"[0, 0, 0, 0, 1, 0, 0, 0]"
son đẹp giao chuẩn màu đóng_gói sịn lắm giao cũng nhanh nữa 5,"[0, 0, 0, 0, 0, 1, 1, 1]"
son màu xinh xiu mùi dễ_chịu quá ok,"[0, 0, 1, 0, 0, 1, 0, 0]"
đơn quốc_tế nên đợi hơi lâu ạ nhưng bù lại thì son xinh lắm shop ơi cảm_ơn shop và shope,"[0, 0, 0, 0, 0, 0, 1, 0]"
màu son đẹp đỏ hồng 1 tẹo hợp răng trắng_shop giao hàng nhanh,"[0, 0, 0, 0, 0, 1, 1, 0]"
chuẩn_bị hàng hơi lâu xíu nhưng hàng giao rất nhanh nhé đóng_gói cẩn_thận,"[0, 0, 0, 0, 0, 0, 1, 1]"
sản_phẩm oki nhóa vgvg g g vt g fj thế hehd,"[0, 0, 0, 0, 1, 0, 0, 0]"
chất son với mùi của ver này thì mình vẫn luôn ưng rồi màu v21 mình vẫn dùng từ trước rồi lần này có đặt thử thêm v25 thì cũng rất đẹp v25 nó cũng gần gần như v17 đánh vào mùa đông hợp luôn màu này dùng đánh lòng môi đẹp lắm,"[0, 1, 0, 0, 0, 1, 0, 0]"
màu lên khá ok son mịn không lì mùi hơi hắc nhưng kh sao nha,"[1, 1, 1, 0, 0, 1, 0, 0]"
xinh xểu chất son mềm mịn lên màu chuẩn mỗi tội giao hàng lâu ơi là lâu,"[0, 1, 0, 0, 0, 1, 1, 0]"
mình kh ngờ với 20 k có_thể oder được chiếc son sịn sò như vậy màu khá ưng chất son mịn và lì sẽ tiếp_tục ủng_hộ shop lâu_dài broken_heart,"[1, 1, 0, 1, 0, 0, 0, 0]"
hình_ảnh video mang tính_chất lấy xu chưa cầm được em son trên tay chưa biết_sao,"[0, 0, 0, 0, 1, 0, 0, 0]"
son khá bột và sẽ có độ xê_dịch nhiều khi bặm môi nhất là với những màu nude thế này mình mua màu này để làm màu base thôi với giá này thì mình cũng k kì_vọng chất son cho lắm ngoài chuyện bị giam hàng ở hải_quan từ 12 12 tới nay thì cái gì cũng ok may_mà shop gói hàng chắc_chắn,"[0, 1, 0, 1, 0, 0, 1, 1]"
công_dụng làm đẹp kết_cấu mịn dễ tán độ bền_màu chắc tốt,"[1, 1, 0, 0, 0, 0, 0, 0]"
son môi mới nhất của focalure sắp ra_mắt đôi môi quyến_rũ mềm và mịn như nhung son kem dạng nhung lì mới giúp môi bạn trông mơ_màng và mềm như coton khi mới thoa sẽ cảm_giác giống như đất_sét lướt nhẹ sau đó sẽ trở thà giao hàng khá lâu,"[1, 1, 0, 0, 0, 0, 1, 0]"
son xinh rẻ màu yêu lắm xa nên giao hơi lâu recomend mọi ng nên mua,"[0, 0, 0, 1, 0, 1, 1, 0]"
hình_ảnh minh_họa thôi nhưng đóng_gói khá cẩn_thận trông sang màu rất đẹp giao đúng hàng oki,"[0, 0, 0, 0, 0, 1, 1, 1]"
hàng đúng miêu_tả mùi sô_cô la thơm bọc đóng_gói cẩn_thận có giấy cảm_ơn nx,"[0, 0, 1, 0, 0, 0, 0, 1]"
từng mua rồi ok lắm mọi người màu đẹp giờ mua màu khác,"[0, 0, 0, 0, 0, 1, 0, 0]"
tha lên môi ra màu cam sp tuyệt_vời thơm ưng_ý đánh_giá 5 sao,"[0, 0, 1, 0, 0, 1, 0, 0]"
son đẹp cực màu sin chất son okela lắm nha mọi người đáng để mua ạ,"[0, 1, 0, 0, 0, 1, 0, 0]"
shop chuẩn_bị hàng đủ và giao nhanh son thơm đánh lên xinh,"[0, 0, 1, 0, 0, 0, 1, 0]"
son lì lắm nha son lên cảm_thấy mền môi son thơm oke son thì thơm mùi socola nha money_with_wings,"[1, 1, 1, 0, 0, 0, 0, 0]"
son chất đẹp xĩu lun á shiper expres dễ_thương có lần cho tui thiếu tiền hàng nữa,"[0, 1, 0, 0, 0, 0, 1, 0]"
đẹp son lì a,"[1, 0, 0, 0, 0, 0, 0, 0]"
giao hàng hơi chậm mình swatch lên tay thấy 303 vs 401 màu đều kh biết lên môi ntn còn 301 thì kh đều màu cho lắm chất son êm mướt có_thể thể độ bóng nhẹ khi mới swatch nên mình nghĩ lên môi sẽ kh bị khô đâu 303 v 401 thì mướt hơn còn 301 thì swatch xong hầu_như tiệp ngay kh có độ bóng,"[0, 1, 0, 0, 0, 1, 1, 0]"
màu hơi nhạt so với mình tưởng và cũng và trôi hơi nhanh nhưng đang hết tiền mua cây này là chính_đáng á mng ơi kakak two_hearts video và hình_ảnh mang t c lấy xu thoi ạ,"[1, 0, 0, 1, 0, 1, 0, 0]"
công_dụng son kết_cấu xốp độ bền_màu kém son màu khá đẹp thích_hợp làm base hoặc sử_dụng bình_thường phù_hợp với da trắng son thơm mùi socola ngọt nhẹ chất son khá bột k bám môi nên dễ trôi và bị lợn_cợn nhưng do giá rẻ nên không đòi_hỏi gì nhiều,"[1, 1, 1, 1, 0, 1, 0, 0]"
znsk doksbgd nksbshsj,"[0, 0, 0, 0, 1, 0, 0, 0]"
đóng gói sản_phẩm đẹp chất_lượng sản_phẩm tốt màu son đẹp,"[0, 0, 0, 0, 0, 1, 0, 1]"
độ bền_màu ko be đánh nhanh trôi lên màu k đẹp dg thấy bthg,"[1, 0, 0, 0, 0, 1, 0, 0]"
đặt câu hỏi soạn văn siêu ngắn giải sgk sbt vbt dễ hiểu đầy_đủ tất_cả các lớp các môn xem chi_tiết đua top nhận quà tháng 9 2021 ngữ_văn lớp 9 20 điểm 15 56 2 hãy viết 1 đoạn văn khoảng 20 chữ trình_bày suy_nghĩ của em về vấn đ,"[0, 0, 0, 0, 1, 0, 0, 0]"
đẹp lì nhưng mình mua nhầm thành 2 thỏi huhu nhưng cảm_ơn shop nh,"[1, 0, 0, 0, 0, 0, 0, 0]"
đã nhận đc hàng shop gói kỉ càng chưa sử_dụng nhưng cho shop 5 smiling_face_with_smiling_eyes,"[0, 0, 0, 0, 0, 0, 0, 1]"
hàng đẹp son lên màu đỉnh lắm giao hàng nhanh ưng lắm đợt sau mua tiếp,"[0, 0, 0, 0, 0, 1, 1, 0]"
giao hàng hơi lâu nhưng đồ đẹp mà_còn giá hạt_dẻ nên oki rùi sẽ ủng_hộ tiếp,"[0, 0, 0, 1, 0, 0, 1, 0]"
công_dụng mauf màu đẹp mua mal hàng chuẩn tem đầy_đủ chất_lượng son ok lắm sẽ tiếp_tục ủng_hộ đẹpo,"[0, 0, 0, 0, 0, 1, 0, 0]"
đóng gói cẩn_thận màu swash lên xinh lắm vỏ màu cũng đẹp thấy mn hay review màu này ưng thật_sự,"[0, 0, 0, 0, 0, 1, 0, 1]"
wa tuỵt aạ mình chưa dùng thử íi vd ha mang tính nhận xu ặ,"[0, 0, 0, 0, 1, 0, 0, 0]"
son lên màu khá là oce nha kh lì đâu black_heart giao hàng nhanh,"[1, 0, 0, 0, 0, 1, 1, 0]"
son lipstick nhỏ nhỏ xinh_xinh đánh lên màu đẹp hợp với da giá rẻ mua 2 cây chỉ có 75 k đáng để mua nha mọi người giao hàng thì 10 ngày mình mới nhận được,"[0, 0, 0, 1, 0, 1, 1, 0]"
sản_phẩm ok lắm nha hình_ảnh và video mang tính_chất nhận xu thôi nhé,"[0, 0, 0, 0, 1, 0, 0, 0]"
hai màu này xin cực thích nhất màu 03 chất son mịn mướt hdhdhd,"[0, 1, 0, 0, 0, 1, 0, 0]"
công_dụng cho môi xinh_xẻo lên nữa kết_cấu k biết tả độ bền_màu màu đẹp mà chạm đâu dính đó son thơm vl luôn tưởng đâu trét lên môi màu đẹp vl biết z sắm 2 thỏi này gòi mà bay_màu lẹ lắm cũng k đòi_hỏi vì đúng giá thôi,"[1, 1, 1, 1, 0, 1, 0, 0]"
được mỗi màu đỏ đất còn rượu_vang thì y_như hàng cũ để lâu ngày mùi kinh vl đã v còn đánh ko ra_màu nhìn vào chất son thì bột bột thấy ghê,"[0, 1, 1, 0, 0, 1, 0, 0]"
son mk mua màu 05 bôi lên cg thấy khá đẹp ncl tiền nào của nấy,"[0, 0, 0, 0, 0, 1, 0, 0]"
thỏi son xinh hàng khá gói sản_phẩm rất đẹp,"[0, 0, 0, 0, 0, 0, 1, 1]"
son đẹp lém lì mịn_màng,"[1, 1, 0, 0, 0, 0, 0, 0]"
công_dụng giúp đôi môi xinh hơn son xinh lắm nhe màu y hình giao hàng nhanh,"[0, 0, 0, 0, 0, 1, 1, 0]"
anh shiper nói_chuyện dễ_thương mua set 7 cái mà shop cho thêm cái lun sẽ ủng_hộ thumbs_up,"[0, 0, 0, 0, 0, 0, 1, 0]"
chất lượnh sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất chu_đáo đáng mua,"[0, 0, 0, 0, 0, 0, 0, 1]"
son lên màu ok mh mua 2 thỏi được shop tặng thêm 1 thỏi son nè,"[0, 0, 0, 0, 0, 1, 0, 0]"
màu đẹp giá_thành phù_hợp với hsv chất son_ổn phù_hợp với mọi tone da,"[0, 1, 0, 1, 0, 1, 0, 0]"
son rẻ lên mua giao hàng khá nhanh sau lại quay lại ủng_hộ shop ạ,"[0, 0, 0, 1, 0, 0, 1, 0]"
màu đẹp với lại thơm mùi kiểu mùi kẹo nữa đáng tiền mua lắm a smiling_face_with_heart eyes,"[0, 0, 1, 1, 0, 1, 0, 0]"
vid mang tính_chất nhận xu son màu đẹp swatch lên như ảnh thơm giá rẻ chưa dùng lên môi nên chưa biết,"[0, 0, 1, 1, 0, 1, 0, 0]"
màu son rất đẹp ngon bổ rẻ phù_hợp với túi_tiền học_sinh sinh_viên giá rẻ nên son cũng nhỏ thôi nhưng ko sao đáng để trải_nghiệm,"[0, 0, 0, 1, 0, 1, 0, 0]"
son màu đẹp dễ trôik,"[1, 0, 0, 0, 0, 1, 0, 0]"
